mp-7, S
mp-554074, NbS2
mp-554134, SnS
mp-554206, Cs2Al2As2O7
mp-554212, Tl2Ni3S2
mp-554238, CuBiSCl2
mp-554252, K2NaCrF6
mp-554310, TlBiS2
mp-554337, Rb2IrF6
mp-554451, BaFeF4
mp-554517, NaMnF4
mp-554519, Gd4Ti(SeO)4
mp-554623, Sm2Ta2Cl2O7
mp-554769, MoSBr
mp-554822, CsSb(PO4)2
mp-554867, Ta2O5
mp-554948, NaI(OF)2
mp-554959, K2Al2Sb2O7
mp-554971, ZrFeF6
mp-555014, Rb2MnF5
mp-555018, RbNa2AuO2
mp-555056, SbS2NCl6
mp-555096, PrS2
mp-555123, KMnF3
mp-555184, SmTiClO3
mp-555223, Cs2MnF5
mp-555234, RbSbBrF3
mp-555235, SiO2
mp-555293, NbS2
mp-555296, YbTaO4
mp-555321, BaNiF4
mp-555331, KGdPdO3
mp-555370, V(MoS2)2
mp-555403, K3WF6
mp-555425, K2Th(CuS2)2
mp-555741, RbAu(SO4)2
mp-555850, LuSF
mp-555860, EuTiClO3
mp-555934, VF2
mp-555949, KEuPdO3
mp-556004, Ba3In2Br2O5
mp-556045, KCuF3
mp-556094, AgBiSCl2
mp-556108, DyTiClO3
mp-556111, YSeF
mp-556135, GdSI
mp-556139, BaZr(PO4)2
mp-556194, SrSbSe2F
mp-556233, KAs4ClO6
mp-556275, Rb2Al2Sb2O7
mp-556320, Cs2NaFeF6
mp-556411, CaBi2(CO4)2
mp-556475, KLaPdO3
mp-556546, K2NiF4
mp-556560, MnF3
mp-556605, ZrO2
mp-556750, CoO2
mp-556850, BaMnF4
mp-556856, BaCSNCl
mp-556891, KFeF3
mp-556911, FeF2
mp-556939, NpIO
mp-557030, NaW2(Br3O)2
mp-557122, RbAu(SeO4)2
mp-557136, Cu3Se2(ClO3)2
mp-557179, NaSbS2
mp-557183, KNaZnO2
mp-557232, KSmPdO3
mp-557266, HgO2
mp-557296, Sr2MnSbO6
mp-557359, Cs2Al2Sb2O7
mp-557373, Cu2WS4
mp-557483, YbClF
mp-557510, Cu3TeS3Cl
mp-557523, VS2
mp-557539, MoF3
mp-557579, LaS
mp-557686, ZrVF6
mp-557692, Ba3Tl2Cl2O5
mp-557719, PbS
mp-557772, CsNiF3
mp-557805, MnBiS2Br
mp-557861, Li2CaTa2O7
mp-557938, HfVF6
mp-557964, Li9S3N
mp-557993, BiO2
mp-558078, Rb2NaFeF6
mp-558110, TiS2
mp-558111, Rb2MnF6
mp-558227, K2RbMn2F7
mp-558258, Eu2I2O
mp-558378, Pd3S
mp-558435, KYb2F7
mp-558798, BiPO4
mp-558831, KNdPdO3
mp-558838, NiPtF6
mp-558896, Yb3(SF2)2
mp-559044, CuCSN
mp-559067, KNa2AuO2
mp-559118, CsTa(PO4)2
mp-559263, K2Li4UO6
mp-559289, YTaO4
mp-559470, AgPbBrO
mp-559521, InBi2S4Cl
mp-559588, CdSbS2Br
mp-559598, LiScF4
mp-559612, KLiO
mp-559760, ScIO
mp-559798, NiF2
mp-559847, Ag5P(S2Cl)2
mp-559931, VF3
mp-559933, Ba3In2Cl2O5
mp-559959, Rb2CoF4
mp-560119, TbCl2F
mp-560338, CrF3
mp-560569, KPrPdO3
mp-560767, KNaTiO3
mp-560861, Cs2KMnF6
mp-560874, BaPb2C2(O3F)2
mp-560902, MnF2
mp-560976, KNiF3
mp-561067, KRb2FeF6
mp-561075, Na2CdSnS4
mp-561079, CdBiS2Br
mp-561242, TaAgS3
mp-561294, SrLi2Nb2O7
mp-561307, DySCl
mp-561317, Rb2NiF4
mp-561320, PbS
mp-561326, LuSeO3F
mp-561461, Cs2KMnF6
mp-561511, FeAsS
mp-561536, NaMgBO3
mp-561619, CsLuS2
mp-561672, Cs4IrO4
mp-561703, AuCClO
mp-561751, CsErS2
mp-561808, YbBi2ClO4
mp-561830, Cs2CoS2
mp-562468, TiF3
mp-562809, GdBi2BrO4
mp-566131, KCrF3
mp-566608, SrCrF4
mp-567114, Sr(BiPd)2
mp-567181, ZrRh
mp-567197, YSnAu
mp-567207, SrIn4
mp-567214, NdSnRh
mp-567240, Ba(MnSb)2
mp-567248, Yb4Mn2Sn5
mp-567249, GdMg2Ni9
mp-567262, NiCN2
mp-567299, KC2IN2
mp-567341, PrCoC2
mp-567369, Nd4Mg3Co2
mp-567377, Ba(AlSi)2
mp-567404, YbIn4Pd
mp-567413, TbInPt
mp-567431, ThCl4
mp-567441, HfIN
mp-567474, Li2CrCl4
mp-567515, Rb2Hg2PdBr8
mp-567525, Te2Au
mp-567545, K(In3Au2)2
mp-567572, GdCBr
mp-567574, DyAgGe
mp-567584, Hf2Te
mp-567598, Dy7(TeIr)2
mp-567614, Tb2Co2I
mp-567624, CrBr2
mp-567628, Rb2LiDyBr6
mp-567644, RbCu2Br3
mp-567657, K(CuSe)2
mp-567670, Ho3(AgSn)4
mp-567687, CrI2
mp-567698, CsTiI3
mp-567713, Nb3TeI7
mp-567727, Pr2Co2I
mp-567730, Pr2B3Cl
mp-567752, Cs2In3
mp-567767, CoCN2
mp-567768, YbCuGe
mp-567787, LiInAg2
mp-567817, HfGeTe4
mp-567836, K2NaBP2
mp-567840, Tm(CuGe)2
mp-567844, Gd2Fe2I
mp-567872, Ba2Bi
mp-567908, Lu4B3C4
mp-567931, InSiTe3
mp-567933, FeCN2
mp-567942, Cs2ReCl6
mp-567948, Rb2Pd(IBr2)2
mp-568066, Pr2CBr
mp-568083, LaNi2B2C
mp-568100, ReNCl4
mp-568113, Ba(AsRh)2
mp-568116, Lu2(CN2)3
mp-568137, Cs3Mg2Cl7
mp-568146, Pd(Se3Br)2
mp-568168, Rb(In3Au2)2
mp-568170, TbCl3
mp-568191, SrLuCuSe3
mp-568207, NdMg2Ni9
mp-568252, Rb2Hg2PdCl8
mp-568264, SiSe2
mp-568266, Tm2NiAs2
mp-568280, Ba(NiAs)2
mp-568328, FeP4
mp-568342, TbCl
mp-568346, HfBrN
mp-568347, NbSe2
mp-568349, Cr(FeSe2)2
mp-568370, La3(SiNi)4
mp-568388, BiI
mp-568398, CaBiAu
mp-568404, Li9Al4
mp-568422, NaAg(CN)2
mp-568424, CaAlAu
mp-568498, Sm2(CN2)3
mp-568501, SrCdBi2
mp-568506, Pr2Ni2I
mp-568519, Tm3(CuGe)4
mp-568529, PrMg2Ni9
mp-568541, Dy2B4C
mp-568574, LaGeI
mp-568624, Tb2B2C3
mp-568625, La3(SiPd)4
mp-568664, CaAgBi
mp-568668, DyFe2SiC
mp-568672, YbGeIr
mp-568673, Y(SiRu)2
mp-568685, TmAlRh
mp-568728, Er2CoSi2
mp-568747, K(NiSe)2
mp-568782, Dy(PPt4)2
mp-568809, Ba5Al5Pb
mp-568865, ZrTe
mp-568866, Na6ZnSn2
mp-568887, RbCrCl3
mp-568890, Tl2CdGeTe4
mp-568895, BaSbAu
mp-568914, K2WCl6
mp-568925, Ni2Sn4Au
mp-568936, Ag2Se
mp-568938, Pr
mp-568967, Ba5Ga5Sn
mp-568974, Ca(CuSn)2
mp-568992, ZrIr
mp-569001, Sr2LiCoN2
mp-569006, Sr(AsRh)2
mp-569008, PdCl2
mp-569066, Cs2PdI6
mp-569109, MnBiSe2I
mp-569114, BaAg2SnSe4
mp-569175, ZrCl4
mp-569196, YNi3
mp-569228, WN
mp-569246, Tl2HgGeTe4
mp-569272, Cs2Se
mp-569338, YbAlPd
mp-569341, NdBPt2
mp-569343, Tb4Mg3Co2
mp-569380, BaCeI4
mp-569396, BaLi2(MgGe)2
mp-569424, Cr2B
mp-569436, MoCl5
mp-569494, SmMg2Ni9
mp-569505, TbRe2SiC
mp-569529, Ba2Bi3
mp-569558, AlAu2
mp-569565, La3(CrN3)2
mp-569568, Ta3AlC2
mp-569578, NbI5
mp-569605, Yb2Tl
mp-569617, Ca3Zn2(CuP2)2
mp-569623, Nb(SeBr)2
mp-569628, CaCdAu
mp-569637, La4C2Cl5
mp-569670, LaNdI4
mp-569673, PrI2
mp-569675, Tl2Hg2PdCl8
mp-569689, Eu2PI
mp-569698, UAl2Pd5
mp-569745, YbMgSn
mp-569748, ThFe2SiC
mp-569766, TeI
mp-569790, BaAg2GeSe4
mp-569802, Si3Ir
mp-569803, B2W
mp-569807, RbTiBr3
mp-569831, Zr3(Al2C3)2
mp-569859, MnTl2SnTe4
mp-569873, La4C2Br5
mp-569885, Cs2TaCl6
mp-569886, KIn9Ni2
mp-569894, La4B4Cl5
mp-569895, EuCl3
mp-569898, Ce3GaBr3
mp-569935, La3(BN2)2
mp-570026, ErAgGe
mp-570051, Tl2SnHgTe4
mp-570076, Tl2CdSnTe4
mp-570102, HoSiRu2C
mp-570138, Tb2Al4NiGe2
mp-570159, SmZnSn
mp-570198, Ba(ZnAs)2
mp-570205, PrSe2
mp-570219, InBr3
mp-570229, ThBr4
mp-570272, Tb2Mg3Ni2
mp-570298, Ba(SbAu)2
mp-570303, KTmI3
mp-570325, AuSe
mp-570340, AgAuCl4
mp-570425, YbGa5
mp-570451, Nb2Te3
mp-570466, Li2Ca
mp-570470, CeSmI4
mp-570477, LaSmI4
mp-570498, Pr4C2Cl5
mp-570499, La5(BN3)2
mp-570506, ZrI2
mp-570529, Eu2B4Rh5
mp-570595, DySiRu2C
mp-570597, La2GeI2
mp-570619, NdSbPd
mp-570668, LaSe2
mp-570677, Ba5Al5Sn
mp-570689, CaInPt
mp-570707, NdSe2
mp-570713, TiAlPt
mp-570728, CeNdI4
mp-570769, CaInCu4
mp-570771, BaLi2(MgSi)2
mp-570775, BaAu
mp-570829, VINCl3
mp-570853, SrCeI4
mp-570890, SmBiRh
mp-570961, CdBiSe2I
mp-570988, La2PBr2
mp-570990, Cs2MoCl6
mp-571016, KSnSe2
mp-571035, OsCl4
mp-571039, CaAlPd
mp-571065, TiBr3
mp-571126, Ti2BRh6
mp-571146, SnICl
mp-571210, YGaI
mp-571216, Sr3(AlGe2)2
mp-571223, Tb3(CuSn)4
mp-571232, YbBr2
mp-571258, Er6I7
mp-571263, KIn9Co2
mp-571266, GaCl3
mp-571279, ZrI2
mp-571302, Pr3(Al2Si3)2
mp-571350, Ba(AsPd)2
mp-571353, BaSn5
mp-571363, YbSbPd
mp-571419, Zr2Al4C5
mp-571420, Ba(NiP2)2
mp-571434, La(AsPd)2
mp-571442, YI3
mp-571454, LiAgC2
mp-571465, PbIBr
mp-571505, Rb2In3
mp-571518, WCl6
mp-571542, CeAlCo
mp-571547, Te2Au
mp-571550, Sb2TeSe2
mp-571554, PrAlSi2
mp-571555, InCl
mp-571571, CeTe3
mp-571599, Ba(BiPd)2
mp-571606, Sm4Mg3Co2
mp-571642, CaCl2
mp-571647, La2PI2
mp-571648, Rb2MnCl6
mp-572313, Cu3Te2(BrO3)2
mp-572758, ReS2
mp-572767, CsAuF4
mp-572797, Cs2IrF6
mp-573316, CsPt2Se3
mp-573321, TePdI2
mp-573376, Lu2CCl2
mp-573548, La3(GaNi2)2
mp-573947, Cs2MnSe2
mp-574004, GdMgGa
mp-574021, Ce2ZnNi2
mp-574122, UAl4
mp-574262, Ce4C2Br5
mp-574338, CsGa3
mp-574369, La2InCu2
mp-574379, CsHg2
mp-574498, Cs3Bi2
mp-579536, CsCu2ICl2
mp-579605, Cs2KEuCl6
mp-580154, GdMgAu
mp-580215, CeGa6Pd
mp-580439, UFe5Si3
mp-580631, Cs2KTbCl6
mp-580886, ZrIN
mp-580941, AgI
mp-581678, LiEu2Si3
mp-581968, Tm2Pd2Pb
mp-582227, Eu(MnSb)2
mp-582389, Eu2B5Os3
mp-582406, Gd2(Zn2Ge)3
mp-582421, KUCuSe3
mp-582618, Eu2C(NCl)2
mp-582826, GdRuC2
mp-600125, HfInCu2
mp-600604, CuO2
mp-600663, CeGaNi
mp-601195, CuO2
mp-601371, GdSi
mp-601823, TaTe2
mp-601846, Yb2In8Ir
mp-602393, La4Ni3Pb4
mp-603326, Gd2CdPd2
mp-604496, CeSiHRu
mp-605650, Ba5Ga5Pb
mp-605786, Eu2BrO2
mp-605867, CeIn7Pt2
mp-606102, Ce3In3Ru2
mp-607298, Cs2Pd(ICl2)2
mp-607475, Zr4In5Co2
mp-607477, CsSc3(CuTe3)2
mp-607816, UFeGe
mp-608254, SmClF
mp-608517, EuSnPt
mp-608823, Ga2Fe2S5
mp-609413, Eu2Ga3Ir
mp-610469, CeBiS2O
mp-610491, BiSeCl
mp-610517, Ag2S
mp-610522, Mn2As
mp-610631, LaGeAu
mp-610645, Ce(NiAs)2
mp-610687, CeSnRu
mp-610744, Cs2MnTe2
mp-610787, Gd(CrSi)2
mp-610955, CsCrCl3
mp-611062, EuSb2
mp-611219, Hg
mp-611316, AsN(OF3)2
mp-612175, Eu3(AsPd)4
mp-612670, YNiBC
mp-612861, La(ReSi)2
mp-612946, KTeOF3
mp-613052, Eu2PBr
mp-613162, CsSnSe3
mp-613206, EuGe2Ir
mp-613839, Tb3(MnGe)4
mp-614565, CuO2
mp-614777, NiF3
mp-614803, Cs2TeO3
mp-614981, Ba2Nd(CuO2)3
mp-615314, ScCoC2
mp-615820, Pu2Pt
mp-616166, Ba2Ho(CuO2)3
mp-618813, Gd2Br3
mp-619206, SrCa2In2Ge
mp-621619, Gd3(CuGe)4
mp-622576, Ba2Sm(CuO2)3
mp-622621, NdFeAsO
mp-623108, Eu4Ir
mp-623988, GdCdPd
mp-624668, BaSb2
mp-624688, Ta2O5
mp-624909, LaNb2CuBrO7
mp-624928, KEu(CuTe2)2
mp-625548, Cd(HO)2
mp-626981, Eu(GeRh)2
mp-628568, FeCu2SnS4
mp-628599, YbBi2IO4
mp-628606, Rb2PdI6
mp-628631, GdBi2IO4
mp-628705, YbFeGe
mp-632711, InHO2
mp-632759, CuH4(OF)2
mp-634381, V2Zn2O7
mp-634965, NbO
mp-635469, CeCuSO
mp-636264, La(CuSn)2
mp-636403, PuNi3
mp-636565, YbIn5Ir
mp-637182, Gd3Al7Ag2
mp-637222, Gd2AlCo2
mp-637614, Zn3(InS3)2
mp-638253, EuIn4
mp-638374, BaNdFe2O5
mp-638590, MnTl2GeTe4
mp-638841, Eu(AsRh)2
mp-639496, EuIn2Au
mp-639876, U2SnRh2
mp-639910, Y(Sn3Ru2)2
mp-640108, Ce2InNi2
mp-640597, Ce3(AgGe)4
mp-640922, CeInPt
mp-642458, CeIn4Pd
mp-642644, V2H
mp-642650, LiP(HO)2
mp-642659, V2H
mp-642731, CeH3(CO2)3
mp-642810, HOF
mp-642890, LaSe
mp-643013, ZrP2(HO3)2
mp-643033, KPH2SO3
mp-643364, HPbClO
mp-643367, YCBr
mp-643378, CuH4Pb2(ClO2)2
mp-643431, AgH4WS4N
mp-643754, HgH2NCl
mp-643989, KHCO2
mp-644222, CdHClO
mp-644385, HCN
mp-644499, CeCoGeH
mp-644762, Eu(ZnSn)2
mp-654374, Ba2YTlCu2O7
mp-655275, HgC2(SN)2
mp-655360, UI4
mp-656144, BaEuFe2O5
mp-662563, CsFe2Se3
mp-669347, KCuF3
mp-669354, LaNb2CuClO7
mp-669431, EuBi2BrO4
mp-669573, EuBi2IO4
mp-669913, Sr2Pb3
mp-672187, Pr2Pd2Pb
mp-672272, Sm2Pd2Pb
mp-672274, YbIn4Rh
mp-672285, CuCSN
mp-672286, Eu3Ga2
mp-677105, Cu2GeSe3
mp-680742, GdP5
mp-690772, V5S8
mp-697068, SiPd2
mp-704645, CuO
mp-705439, CuO2
mp-714931, VO2
mp-715550, MoO2
mp-753721, GdOF
mp-754019, Na4NpO5
mp-754109, PrAsO4
mp-754844, Na2IrO3
mp-755117, Ba2IrO4
mp-755891, CsLiH4SO5
mp-757826, CsCa(NO2)3
mp-781625, BaOsO3
mp-849080, VS2
mp-850049, CoS2
mp-861595, Pr2CdCu2
mp-861620, LaZn4
mp-862850, KPAuSe3
mp-864603, YbH2
mp-864790, Nd2BC
mp-864912, YbGaPt
mp-865527, YAl3
mp-865625, Na2MgSn
mp-865937, KNpAgS3
mp-867152, EuMgGe
mp-867312, KNpCuS3
mp-867851, Rb2TlAu3
mp-971673, BiS2
mp-972187, ZrSiPt
mp-972224, TaGeRh
mp-973451, Nd2BiO2
mp-973540, LuAlB4
mp-973585, LuIO
mp-973981, LuBrO
mp-974434, RuF4
mp-974769, EuNiGe3
mp-975044, Li(SiRh)2
mp-975646, PrZnSbO
mp-975655, PrNiGe2
mp-975666, PrBrO
mp-976271, KTi2F7
mp-977446, NdVGe3
mp-978084, PrVGe3
mp-978568, Si3MoPt2
mp-978853, Sr(GeIr)2
mp-978857, SrHgO2
mp-978986, Sr(GePd)2
mp-978987, SrGe3Pd
mp-979911, Y2Au
mp-981551, PrGe5
mp-982261, PbSe2
mp-983603, ErZnAsO
mp-984605, Ca3SnH2
mp-984703, CeGe5
mp-985439, BaPAu
mp-985831, HfSe2
mp-995122, NbS2
mp-995191, BaTiO3
mp-999192, SiNi
mp-999539, MnO
mp-1001784, LiTiS2
mp-1002133, LaGa
mp-1006372, AgSO4
mp-1006888, KYS2
mp-1007664, InPd3
mp-1008283, Ba
mp-1008833, NpN2
mp-1009657, CaN2
mp-1016999, SrGeO3
mp-1017465, BaVO3
mp-1017514, MgSiN2
mp-1017553, CdCo3N
mp-1017554, CdNi3N
mp-1017567, Hf2SN2
mp-1018025, LuAgO2
mp-1018026, LiAg
mp-1018045, Rb
mp-1018047, LaSn
mp-1018098, Ba2BrN
mp-1018099, Ba2NCl
mp-1018106, YbBiPt
mp-1018139, HoNiBi
mp-1018657, CaBiAu
mp-1018658, CaCoSi
mp-1018666, CeSi2Mo2C
mp-1018667, CeTeCl
mp-1018677, DyScSb
mp-1018684, Er2Mg3Ru
mp-1018691, Eu2H3Br
mp-1018693, Eu2H3Cl
mp-1018694, ErZnGa
mp-1018709, Hf2GaSb3
mp-1018713, HfCuSn
mp-1018731, HoSI
mp-1018735, BaTi2As2O
mp-1018738, LaAl2BRu2
mp-1018746, LaGe2Ir3
mp-1018752, LaTeCl
mp-1018766, Li3LaAs2
mp-1018799, MgSc3Ru2
mp-1018800, MnCuAs
mp-1018808, MgCoGe
mp-1018818, NdTeCl
mp-1018891, PdCl2
mp-1018941, PrTeCl
mp-1019519, Ba2NaO
mp-1019535, BaAl2(SiO4)2
mp-1019779, K2Mg2Si2O7
mp-1019888, KNa2BN2
mp-1020026, LiBeBO3
mp-1025100, LaGe5
mp-1025212, InAsPt5
mp-1025293, InAsPd5
mp-1025377, Cd(AgI2)2
mp-1025411, CeSi2Rh
mp-1058623, O2
mp-1061766, CeNiAs
mp-1063268, CoO2
mp-1063566, MgSc2Ru
mp-1065394, MoN
mp-1065405, CsAuC2
mp-1065583, LaSe
mp-1066781, BrCl
mp-1067925, SrSi3Au
mp-1067935, Ho2SbO2
mp-1067937, Ho2BiO2
mp-1068002, Ca2MgPt2
mp-1068010, Ba(MnBi)2
mp-1068035, Ca2MgPd2
mp-1068042, Yb(MgBi)2
mp-1068048, BaSn3Au
mp-1068053, Ca2AgPd2
mp-1068157, Sr2CdPt2
mp-1068167, Sr2Ge2Pb
mp-1068235, SrGe3Ir
mp-1068239, SrGe3Pt
mp-1068250, Ca(FeSi)2
mp-1068286, Ca2CdPd2
mp-1068325, Sr(InHg)2
mp-1068340, CsGeBr3
mp-1068398, Eu(GeAu)2
mp-1068422, EuGe3Pd
mp-1068431, Yb(ZnSb)2
mp-1068489, Pr2Ni2Sn
mp-1068715, EuGe3Ir
mp-1068746, TlHPd3
mp-1068786, InCo3N
mp-1068803, YbGa4
mp-1068843, Sm2BiO2
mp-1068891, Sr(CuSn)2
mp-1068954, Tb2BiO2
mp-1069042, Eu(ZnSb)2
mp-1069057, Sr(CoSi)2
mp-1069287, Nd2CdCu2
mp-1069288, MnGa4
mp-1069296, Eu3InO
mp-1069357, Eu(CuSn)2
mp-1069375, NdAl3Cu
mp-1069443, CeAl3Cu
mp-1069533, Hf2SN2
mp-1069561, Dy2BiO2
mp-1069613, Er2BiO2
mp-1069658, EuGe3Rh
mp-1069824, Ca2CdPt2
mp-1069956, Ca(SiRh)2
mp-1070103, Hf2Pt3
mp-1070135, Er2Mg2Ru
mp-1070152, Ca(CoSi)2
mp-1070253, Ba(CoGe)2
mp-1070264, La2Ni2I
mp-1070314, Eu(CdAs)2
mp-1070510, Y2BiO2
mp-1070601, La2BiO2
mp-1070662, Gd2BiO2
mp-1070713, InNi3N
mp-1070806, BaTi2Sb2O
mp-1070808, BaTi2Bi2O
mp-1070837, TbMgCo4
mp-1070844, ThPt2
mp-1070852, YbHCl
mp-1070859, TbSiNi4
mp-1070860, EuHCl
mp-1070907, Hf2Sb3Pd
mp-1070912, CsV2S2O
mp-1070916, AlBW
mp-1070917, Nd2Co2SiC
mp-1071032, GeS2
mp-1071051, NdMgCu4
mp-1071127, Ca2GePd3
mp-1071208, LaAl2BOs2
mp-1071216, Pr2Co2SiC
mp-1071230, Zr2Sb3Pd
mp-1071252, LaGa2Rh3
mp-1071260, LaSnAu
mp-1071288, Rb2S
mp-1071360, FeSeN
mp-1071448, CeGaCo
mp-1071453, Nd2Bi
mp-1071720, ScZnPd
mp-1071848, Pr2Sb
mp-1071955, AlPS4
mp-1072085, CeSi5
mp-1072114, HoOF
mp-1072193, ErOF
mp-1072208, DyOF
mp-1072244, EuS
mp-1072419, SmGe5
mp-1072956, MgF2
mp-1076923, Ta
mp-1076932, BaTiO3
mp-1076970, LaScSb
mp-1076973, TiGeSb
mp-1077016, MgIn2
mp-1077018, Sm2Sb
mp-1077095, LuCdNi4
mp-1077156, NdGe5
mp-1077197, CeScSb
mp-1077298, TbMgNi
mp-1077301, EuC2
mp-1077361, BaAsAu
mp-1077378, CsMnP
mp-1077381, Eu2BBrN2
mp-1077404, YbSi2
mp-1077443, NdScSb
mp-1077470, CaNiGe
mp-1077553, Sr2BBrN2
mp-1077722, ScZnPt
mp-1077736, CeTiGe
mp-1077811, CuAgS
mp-1077840, Mn(BiTe2)2
mp-1077866, BaZnBO3F
mp-1077874, Tm(FeO2)2
mp-1077883, In2Rh3S2
mp-1077893, Ba(FeSe2)2
mp-1077901, InCo3SnS2
mp-1077904, CdPb2(ClO)2
mp-1077918, Sr2TcO4
mp-1077929, La2CuO4
mp-1077944, HgPd5Se
mp-1077953, Eu4As2O
mp-1077954, Ce(ZnAu2)2
mp-1077975, Sm4Bi2O
mp-1077979, InPd5Se
mp-1077980, Sr(Ag2Sb)2
mp-1077991, Cs2TmCl4
mp-1078035, Sm2Cr2C3
mp-1078054, Sn2Rh3S2
mp-1078064, Ca(CdAu2)2
mp-1078085, Cs2PdCl4
mp-1078089, Pd3(PbSe)2
mp-1078114, ReCl6
mp-1078159, Ce2Fe(SeO)2
mp-1078180, Sr2MgOsO6
mp-1078182, Nd2Fe2Se2O3
mp-1078184, Eu4Bi2O
mp-1078185, Ba2LuSbO6
mp-1078186, KZn2BCl2O3
mp-1078188, LiOsO3
mp-1078192, Eu4Sb2O
mp-1078198, Ba2CoAg2(SeO)2
mp-1078202, Yb2SnGe2
mp-1078205, KRb2InF6
mp-1078212, Li2B2C
mp-1078216, Sr2Ti2Bi2OF2
mp-1078217, NaFeF3
mp-1078223, Eu(Ag2Sb)2
mp-1078225, BaLaSi2
mp-1078227, BaCoSO
mp-1078231, Sr(GaRh)2
mp-1078234, BaGe3
mp-1078237, NaNiF3
mp-1078239, WBr4
mp-1078240, Si6Ni3Au
mp-1078242, YAlPd2
mp-1078244, ScNi2SbO6
mp-1078250, Cs2AgBiBr6
mp-1078253, MnB4
mp-1078257, Sr(SnHg)2
mp-1078258, Cs2AgBiCl6
mp-1078259, GaBO3
mp-1078261, Ho2Ni2Sn
mp-1078265, Cs2YbCl4
mp-1078268, Pr2BC
mp-1078274, Ca2SnGe2
mp-1078277, Mn2FeWO6
mp-1078278, CrB4
mp-1078280, Ca2GaPd2
mp-1078283, Ce2Fe2Se2O3
mp-1078292, CdCu2SnS4
mp-1078295, NaNbO3
mp-1078303, Ba2YOsO6
mp-1078304, Ca2AlPd2
mp-1078313, Bi2Pt
mp-1078315, PrBi2Au
mp-1078316, Ce2AlRu2
mp-1078326, Ca2GePd2
mp-1078328, LaBiS2O
mp-1078329, ZnPbO3
mp-1078335, Pr2BiN
mp-1078340, Ce(AlPd)2
mp-1078341, EuNbO3
mp-1078348, CeGa3Pd
mp-1078349, La2BiN
mp-1078355, ScNiSn
mp-1078362, Ca2AlPt2
mp-1078363, Ce2BiN
mp-1078366, Bi2S2O
mp-1078367, InNi2SbO6
mp-1078369, Gd2Al4CoGe2
mp-1078370, CeBi2Au
mp-1078372, Na2MgPb
mp-1078378, YbInPt
mp-1078379, FeBiS2Br
mp-1078394, Ba2LuBiO6
mp-1078397, LaBiS2O
mp-1078398, CeAsO3
mp-1078401, LaBi2Au
mp-1078402, ScGePd
mp-1078409, Ba2LaBiO6
mp-1078410, Ba2ZnTeO6
mp-1078411, Sr(SnAu)2
mp-1078415, CaFeSO
mp-1078419, Na3PSe4
mp-1078420, ZnCu2GeTe4
mp-1078428, Ca2GaPt2
mp-1078429, EuGa3Pd
mp-1078430, ScCuGe
mp-1078431, LaBiSe2O
mp-1078435, BaCd2Pt
mp-1078443, As2Se3
mp-1078445, Nd2BiN
mp-1078450, CeCdPt
mp-1078453, BaAlGeF
mp-1078458, CrFeO3
mp-1078460, Li2CuSn2
mp-1078462, BaMg4Ge3
mp-1078469, CuPN2
mp-1078470, TiZnO3
mp-1078483, Ca2GePt2
mp-1078497, YbGa2Ni
mp-1078503, LiTiNCl
mp-1078504, YbIn2Pt
mp-1078516, BaCrS2
mp-1078526, GaPd
mp-1078539, Sr2MgMoO6
mp-1078542, GdZnAsO
mp-1078562, SrAgSF
mp-1078566, Ce2Mn2Se2O3
mp-1078610, EuGe3
mp-1078623, Zr2BIr6
mp-1078644, SnO
mp-1078659, CaRhO3
mp-1078664, Pr2Mn2Se2O3
mp-1078671, Sr2CaWO6
mp-1078672, Ce2CdCu2
mp-1078676, Tl2SnHgSe4
mp-1078679, GdFeAsO
mp-1078698, ZrCuGeAs
mp-1078706, Ba2CoCu2(SO)2
mp-1078709, Na2BiAu
mp-1078721, InPd3
mp-1078725, Ba2UZnO6
mp-1078739, YAgSb2
mp-1078741, Ba2CuOsO6
mp-1078771, Tb2Ni2Sn
mp-1078784, Sc3RhC4
mp-1078795, TmGe3
mp-1078796, EuAs3
mp-1078799, LiNbF6
mp-1078802, LaVGe3
mp-1078813, YZnPd
mp-1078814, Ce2C2Cl
mp-1078825, SrCd2Pd
mp-1078829, Gd2Cl3
mp-1078834, LiRuF6
mp-1078837, DyZnPd
mp-1078860, SrGeAu3
mp-1078868, Sr2MgReO6
mp-1078874, Ba2CeTaO6
mp-1078889, La(AsIr)2
mp-1078903, SrZnSbF
mp-1078908, Ca2CdP2
mp-1078984, Ce2Fe2S2O3
mp-1078995, Sr2MgTeO6
mp-1079040, CsDyBr3
mp-1079050, LaAsO3
mp-1079069, La2Mn2Se2O3
mp-1079088, NaAsF6
mp-1079090, Er3Sn7
mp-1079133, LuZnSn2
mp-1079155, Hf6Al2Pt
mp-1079169, Ba2NdIrO6
mp-1079174, PuPd
mp-1079175, MgGaAu2
mp-1079181, LiOsF6
mp-1079195, SrMnPF
mp-1079211, Ce(PIr)2
mp-1079214, GdSnPt2
mp-1079218, Ho3Sn7
mp-1079232, Cs2HgPdCl6
mp-1079241, Ce2Si7
mp-1079273, La3Sn7
mp-1079320, BaZnAsF
mp-1079321, ErAgS2
mp-1079329, HoZnPd
mp-1079330, MgVO3
mp-1079348, B3Os2
mp-1079351, Sr2CuMoO6
mp-1079362, LaNiAsO
mp-1079386, TbZnPd
mp-1079397, HoZnSn2
mp-1079403, Sr2CoOsO6
mp-1079406, Eu(SnPd)2
