mp-7, S
mp-6628, CsCd(NO2)3
mp-6635, Ba2CaReO6
mp-6646, HoNi2B2C
mp-6687, Ba2HoSbO6
mp-6692, Ba2PrSbO6
mp-6739, Ba2CaOsO6
mp-6754, TmNi2B2C
mp-6781, AgCNO
mp-6782, Li2ZrTeO6
mp-6794, LaB2Rh2C
mp-6847, KY2Ti2S2O5
mp-6908, YMgZn
mp-6914, CaGa
mp-6915, As2PdO6
mp-6916, Sm(BC)2
mp-6917, TmAgSn
mp-6926, Ca(PPd)2
mp-6938, ZnRh
mp-6945, SiO2
mp-6950, BaSb3
mp-6953, Ca(MnP)2
mp-6954, SrAgAs
mp-6959, Ga2NiS4
mp-6961, Sr(SbPd)2
mp-6962, Ba(AsPd)2
mp-6963, Ba(SbPd)2
mp-6964, NaTbO2
mp-6968, Cs2KCuF6
mp-6996, SmB6
mp-6997, Sb2Te
mp-6999, ScPS4
mp-7003, CePPd
mp-7015, CsCeS2
mp-7028, YbOF
mp-7032, HfMoP
mp-7038, TlPd2Se3
mp-7045, RbGdS2
mp-7046, RbDyS2
mp-7049, ZrTlCuS3
mp-7050, ZrTlCuSe3
mp-7061, NdZnAsO
mp-7064, Er2Si2O7
mp-7066, ScNiGe
mp-7068, Sr3(AlSi)2
mp-7072, Th(CoSi)2
mp-7073, BaTiS3
mp-7079, CaZrSi2O7
mp-7080, Li5(NiN)3
mp-7083, LaSi
mp-7086, RbFeSe2
mp-7088, Ta2C
mp-7094, ReAgO4
mp-7095, CeCoSi2
mp-7101, Ce(AlGe)2
mp-7112, Sr2Cu3(SO)2
mp-7120, Sm(AlSi)2
mp-7121, Dy(AlSi)2
mp-7126, TiSnSb
mp-7127, Ba2YbTaO6
mp-7138, YbSb2
mp-7147, KCrP2S7
mp-7157, Tb(AlGe)2
mp-7158, Lu(AlGe)2
mp-7180, UGeAu
mp-7187, TiAlNi2
mp-7192, Sc2Sb
mp-7193, Lu2Si2O7
mp-7194, TbCuAs2
mp-7199, RbPrTe4
mp-7204, CaZnSO
mp-7237, CuAgO2
mp-7239, PrMgGa
mp-7240, NaRuO2
mp-7241, Ho2InPd2
mp-7248, U(Al2Cu)4
mp-7263, CaGaN
mp-7276, ScUS3
mp-7277, Tl2GeS3
mp-7281, Dy3Ni2
mp-7284, USi2
mp-7285, HfNi3
mp-7288, Sc2SO2
mp-7291, CrP2
mp-7302, CrP4
mp-7329, KCeS2
mp-7352, MgCuP
mp-7359, BaAgAs
mp-7376, Sr3(AlSn)2
mp-7377, Ba3(AlSn)2
mp-7378, NaCdAs
mp-7379, TlCdSb
mp-7396, Li3Tl
mp-7429, Ca(ZnSb)2
mp-7430, Ca(CdSb)2
mp-7431, Sr(ZnSb)2
mp-7432, Sr(CdSb)2
mp-7433, NaCuSe
mp-7434, NaCuTe
mp-7443, Nb2CrSe4
mp-7456, SnF2
mp-7474, Cu2As
mp-7486, BaNiS2
mp-7492, LaBO3
mp-7493, CaSb2
mp-7502, K2Sn2O3
mp-7541, SnP3
mp-7558, TaGe2
mp-7560, LuBO3
mp-7574, AlBMo
mp-7577, CoSi
mp-7582, GeS2
mp-7583, SiS2
mp-7589, Mg2NF
mp-7595, GeF2
mp-7598, NbAs2
mp-7600, Th(FeSi)2
mp-7601, NbGaO4
mp-7607, TiHgO3
mp-7621, KTcO4
mp-7632, NiMoP
mp-7644, LuAsO4
mp-7692, Al(CrB)2
mp-7693, BaTm2F8
mp-7703, DyTaO4
mp-7720, Ce2Ga10Ni
mp-7744, LiSO3F
mp-7756, SrLiSb
mp-7784, SbAsO4
mp-7785, CsCu4S3
mp-7824, K2ReF6
mp-7832, BW
mp-7853, NaTl3(SO3)2
mp-7892, Mn2AlB2
mp-7923, Co(MoS2)2
mp-7941, Li6TeO6
mp-7961, Sr3SnO
mp-8053, YCo
mp-8110, AlBO3
mp-8111, LaOF
mp-8128, NaNdO2
mp-8129, NiC2(SN)2
mp-8190, Tl2SiS3
mp-8191, Cs2PtF6
mp-8211, GaGeTe
mp-8215, LaYbS3
mp-8219, Zr(CuP)2
mp-8220, LiTb(CuP)2
mp-8234, BaTe3
mp-8249, TlPS3
mp-8251, VP4
mp-8253, Na5ReO6
mp-8275, CdGeO3
mp-8281, Ba(CdAs)2
mp-8285, ZnGeO3
mp-8290, BaSnF6
mp-8301, Gd2CF2
mp-8307, CaNi4B
mp-8308, Ca3Ni7B2
mp-8312, Ta5As4
mp-8357, UTe3
mp-8360, RbTe
mp-8390, LiYbO2
mp-8393, Tl3SbS3
mp-8418, ZrCoP
mp-8429, K4IrO4
mp-8431, Ca(BRh)2
mp-8432, CaCuP
mp-8435, Ta2PdS6
mp-8436, Ta2PdSe6
mp-8453, RbNaO
mp-8456, SrAsPt
mp-8458, BaAsPt
mp-8466, SmNiGe3
mp-8467, YNiGe3
mp-8468, Sr(SbPd)2
mp-8470, NaPrO2
mp-8481, LiPrGe
mp-8482, LiYbGe
mp-8483, K2SO3
mp-8487, CaSbPt
mp-8500, AsS2NF6
mp-8535, ErSi2Rh3
mp-8539, SrSnP
mp-8540, NdRhC2
mp-8543, Na3AlAs2
mp-8577, Sc3GaC
mp-8578, Sc3InC
mp-8580, Ca(PRh)2
mp-8581, Sr(PRh)2
mp-8582, Eu(PRh)2
mp-8583, Ba(PRh)2
mp-8584, NaErSe2
mp-8591, USe2
mp-8603, RbAgO
mp-8605, SrSbPt
mp-8606, BaSbPt
mp-8607, Na(Cu2Sb)2
mp-8608, K(Cu2As)2
mp-8609, Li6UO6
mp-8612, Sb2TeSe2
mp-8651, Gd(AlSi)2
mp-8666, CsAgO
mp-8680, Ce(BIr)2
mp-8688, V4GeS8
mp-8689, V4GeSe8
mp-8700, K2Au3
mp-8713, K2MnS2
mp-8714, Rb2MnS2
mp-8716, K2MnSe2
mp-8717, Rb2MnSe2
mp-8719, K2MnTe2
mp-8720, Rb2MnTe2
mp-8732, Ta2Se
mp-8758, SmRhC2
mp-8761, NdCoC2
mp-8765, Na2CoS2
mp-8766, Rb2CoS2
mp-8768, K2CoSe2
mp-8769, Rb2CoSe2
mp-8770, Cs2CoSe2
mp-8771, Lu2(NiB2)3
mp-8772, ScB12
mp-8780, Cr2N
mp-8781, SnS
mp-8786, Zr2NiAs2
mp-8787, Ho2NiAs2
mp-8800, TlCu3Se2
mp-8806, Sr2Cu2O3
mp-8832, Tb(CrSi)2
mp-8842, CaSiPd
mp-8843, SrSiPd
mp-8848, TaFeTe3
mp-8858, RbCuF3
mp-8864, Li(Co3P2)2
mp-8868, Ba3NaN
mp-8909, RuO2
mp-8914, SrGaSn
mp-8919, ErPPd
mp-8927, TaCuN2
mp-8938, Si2Mo
mp-8948, CeAsPd
mp-8949, NdAsPd
mp-8951, SmAsPd
mp-8952, HoAsPd
mp-8969, Mg2Ni3P
mp-8973, NaSi2N3
mp-8976, Cu2WS4
mp-8983, CaSiPt
mp-8996, Sc3RuC4
mp-9023, ScSiAu
mp-9024, LuSiAu
mp-9025, YSiAu
mp-9027, TiS2
mp-9035, NaLuS2
mp-9036, KSmTe2
mp-9037, CsPrS2
mp-9040, Ca3AuN
mp-9056, ZrPdF6
mp-9060, RbPdF3
mp-9061, KPdF3
mp-9068, K2NaAlP2
